mode,n_mixed_plain,m_final,m_last,reached,mmax,nlim,nflr,res,wall_s
side,17838,0.5,,False,3.920253126841107,42,40,6.815638811575242e-05,782.8544540032744
main,17838,0.5,,False,5.220137607583284,3,3,1.1368683772161603e-13,807.1062712743878
