mode,gamma_embedded,gamma_wakefree,wakefree_vs_embedded_pct,n_mixed_plain
side,0.08814395827407684,0.08834784894478019,0.23131553732743645,246
main,0.08814395827407684,0.08834784894478019,0.23131553732743645,246
