freeze_tol,reached,m_final,levels_converged,gamma,m_max,res,n_lim,n_flr,accept,wall_s
0.001,False,0.6625000000000001,2/5,0.07190862907294944,1.582165146843878,9.203748874142548e-14,0,0,assignment_cycle;not-converged,1348.4
0.0001,False,0.6625000000000001,2/5,0.07190860792948979,1.5823264693937031,8.215650382226158e-14,0,0,assignment_cycle;not-converged,1514.4
1e-05,False,0.675,3/6,0.07250348946572648,1.6217824592264949,9.305424510368948e-08,0,0,assignment_cycle;not-converged;tol,1772.2
1e-06,False,0.675,3/6,0.07250348946562402,1.6217824592265675,9.305424510629157e-08,0,0,assignment_cycle;not-converged;tol,1885.9
